Using the standard Ruby profiler.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    26.33      0.00        3     0.00     0.00  ActiveModel::Validations::ClassMethods._parse_validates_options
  0.00    26.33      0.00      128     0.00     2.58  Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement
  0.00    26.33      0.00       22     0.00     0.00  Kernel.caller
  0.00    26.33      0.00       18     0.00     0.00  ActiveModel::Validator#initialize
  0.00    26.33      0.00       39     0.00     0.00  I18n::Config#backend
  0.00    26.33      0.00        4     0.00     0.00  ActiveModel::Observing::ClassMethods.inherited
  0.00    26.33      0.00       11     0.00     0.00  ActiveSupport::Dependencies.autoload_once_paths
  0.00    26.33      0.00        6     0.00     0.00  Enumerable.max
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::QueryMethods.create_with
  0.00    26.33      0.00        1     0.00     0.00  User#_before_password_set_callbacks
  0.00    26.33      0.00      105     0.00     0.00  Exception#backtrace
  0.00    26.33      0.00       39     0.00     0.00  Hash#values_at
  0.00    26.33      0.00        9     0.00     1.11  ActiveSupport::Dependencies.loadable_constants_for_path
  0.00    26.33      0.00        1     0.00     0.00  Event#_accessible_attributes
  0.00    26.33      0.00        2     0.00     0.00  Authlogic::ActsAsAuthentic::ValidationsScope::Config.validations_scope
  0.00    26.33      0.00       18     0.00     0.00  ActiveSupport::Callbacks::Callback#name
  0.00    26.33      0.00       86     0.00     0.00  ActiveRecord::Base#find_sti_class
  0.00    26.33      0.00       31     0.00     0.00  String#tr!
  0.00    26.33      0.00       15     0.00     8.00  ActiveRecord::Associations::ThroughAssociationScope.construct_scope
  0.00    26.33      0.00      104     0.00     0.00  Exception#set_backtrace
  0.00    26.33      0.00       16     0.00     0.00  Arel::Nodes::Binary#initialize
  0.00    26.33      0.00        1     0.00     0.00  ActiveSupport::Inflector.tableize
  0.00    26.33      0.00      204     0.00     0.00  MatchData#[]
  0.00    26.33      0.00       19     0.00     2.11  Array#collect!
  0.00    26.33      0.00       50     0.00     0.00  User#table_name
  0.00    26.33      0.00       17     0.00    45.29  ActiveRecord::FinderMethods.first
  0.00    26.33      0.00        2     0.00     5.00  ActiveRecord::Base#sanitize_sql_array
  0.00    26.33      0.00        2     0.00     5.00  Arel::Table#attributes_for
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_263_object
  0.00    26.33      0.00      178     0.00     0.06  ActiveSupport::Callbacks::Callback#next_id
  0.00    26.33      0.00        1     0.00     0.00  Hash#deep_merge
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::Session::Config.rpx_extended_info
  0.00    26.33      0.00        1     0.00     0.00  ActiveModel::Validations::ConfirmationValidator#setup
  0.00    26.33      0.00        1     0.00    10.00  ActiveRecord::Base#after_save
  0.00    26.33      0.00       26     0.00    28.08  ActiveSupport::Dependencies::WatchStack#new_constants
  0.00    26.33      0.00       67     0.00     0.00  #<Module:0xb631359c>.blog_feed
  0.00    26.33      0.00        9     0.00     0.00  ActiveSupport::Dependencies.load_once_path?
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_243_object
  0.00    26.33      0.00       16     0.00    20.62  ActiveRecord::Associations::ThroughAssociationScope.construct_quoted_owner_attributes
  0.00    26.33      0.00       36     0.00     1.39  ActiveRecord::AttributeMethods::Read::ClassMethods.define_read_method
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::ConnectionAdapters::Quoting.quoted_false
  0.00    26.33      0.00       86     0.00     0.00  Class#allocate
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Base#primary_key_prefix_type
  0.00    26.33      0.00        5     0.00     0.00  ActiveRecord::Base#_validation_callbacks
  0.00    26.33      0.00       67     0.00     0.00  #<Module:0xb631359c>.full_name
  0.00    26.33      0.00        2     0.00     0.00  Rails.application
  0.00    26.33      0.00       51     0.00     0.00  I18n::Backend::Simple::Implementation.translations
  0.00    26.33      0.00       37     0.00     0.00  Array#unshift
  0.00    26.33      0.00       16     0.00     0.00  Class#inherited
  0.00    26.33      0.00      161     0.00     0.12  ActiveRecord::Base#base_class
  0.00    26.33      0.00        3     0.00     0.00  Hash#replace
  0.00    26.33      0.00      109     0.00     0.00  ActiveRecord::Calculations.select_for_count
  0.00    26.33      0.00      399     0.00     0.00  Fixnum#>=
  0.00    26.33      0.00        1     0.00     0.00  Pathname#to_str
  0.00    26.33      0.00       15     0.00    86.67  ActiveRecord::Associations::AssociationCollection#include?
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::Associations::ThroughAssociationScope.build_through_conditions
  0.00    26.33      0.00      109     0.00     0.00  Hash#values
  0.00    26.33      0.00       83     0.00     6.51  ActiveRecord::Associations::HasManyAssociation#owner_quoted_id
  0.00    26.33      0.00        6     0.00     0.00  ActiveSupport::Dependencies::Reference#initialize
  0.00    26.33      0.00        5     0.00     0.00  ActiveRecord::Base#pluralize_table_names
  0.00    26.33      0.00        6     0.00    18.33  I18n::Backend::Base.load_file
  0.00    26.33      0.00       70     0.00     2.29  URI::HTTP#initialize
  0.00    26.33      0.00      129     0.00     9.46  ActiveSupport::LogSubscriber#call
  0.00    26.33      0.00      262     0.00     0.00  NilClass#to_f
  0.00    26.33      0.00       19     0.00     0.00  ActiveSupport::Notifications::Fanout::Subscriber#subscribed_to?
  0.00    26.33      0.00      128     0.00    26.41  ActiveRecord::ConnectionAdapters::DatabaseStatements.select_all
  0.00    26.33      0.00       36     0.00     0.00  Array#length
  0.00    26.33      0.00       34     0.00     0.00  Hash#==
  0.00    26.33      0.00       67     0.00     2.24  User#_callback_before_247
  0.00    26.33      0.00       10     0.00     0.00  Relationship#primary_key
  0.00    26.33      0.00      129     0.00     0.00  StringIO#string
  0.00    26.33      0.00       15     0.00     0.00  Array#to_a
  0.00    26.33      0.00      109     0.00    59.27  ActiveRecord::Calculations.count
  0.00    26.33      0.00        6     0.00     0.00  ActiveRecord::Associations::ClassMethods.valid_keys_for_belongs_to_association
  0.00    26.33      0.00        2     0.00     0.00  ActiveSupport::Notifications.notifier
  0.00    26.33      0.00        1     0.00    70.00  ActiveSupport::Callbacks::ClassMethods.define_callbacks
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.account_merge_enabled_value
  0.00    26.33      0.00       65     0.00     4.15  Kernel.silence_warnings
  0.00    26.33      0.00       92     0.00     0.00  Kernel.equal?
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_261_object
  0.00    26.33      0.00        3     0.00     3.33  Module#attr_accessor
  0.00    26.33      0.00        7     0.00    10.00  ActiveRecord::Base#after_update
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_175_object
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::MagicColumns::Methods.included
  0.00    26.33      0.00      570     0.00     0.33  ActiveRecord::Base#column_names
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::Session::Config.rpx_key_value
  0.00    26.33      0.00       19     0.00    64.21  ActiveRecord::Base#find_by_sql
  0.00    26.33      0.00       20     0.00     0.00  ActiveSupport::Dependencies.autoloaded_constants
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::Associations::ClassMethods::JoinDependency#initialize
  0.00    26.33      0.00       70     0.00     0.00  URI::Generic#set_opaque
  0.00    26.33      0.00        2     0.00     0.00  String#count
  0.00    26.33      0.00        6     0.00     0.00  YAML::Syck::Parser#initialize
  0.00    26.33      0.00       67     0.00     0.00  #<Module:0xb631359c>.username_changed?
  0.00    26.33      0.00        9     0.00     0.00  String#inspect
  0.00    26.33      0.00        1     0.00   110.00  Authlogic::ActsAsAuthentic::Password::Methods.included
  0.00    26.33      0.00       21     0.00     0.00  Symbol#inspect
  0.00    26.33      0.00        9     0.00     3.33  Set#merge
  0.00    26.33      0.00      603     0.00     0.00  Symbol#to_sym
  0.00    26.33      0.00       86     0.00     0.47  ActiveRecord::Base#instantiate
  0.00    26.33      0.00       71     0.00     0.00  URI.split
  0.00    26.33      0.00        5     0.00     0.00  String#pluralize
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::Associations::ClassMethods::JoinDependency::JoinBase#initialize
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_255_object
  0.00    26.33      0.00      285     0.00     0.00  Kernel.instance_variable_defined?
  0.00    26.33      0.00       87     0.00     0.11  ActiveRecord::Base#skip_time_zone_conversion_for_attributes
  0.00    26.33      0.00       32     0.00     1.88  ActiveRecord::QueryMethods.limit
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.account_merge_enabled
  0.00    26.33      0.00        4     0.00     0.00  Module#extended
  0.00    26.33      0.00        6     0.00    66.67  ActiveRecord::ConnectionAdapters::SQLiteAdapter#columns
  0.00    26.33      0.00       19     0.00     0.00  Hash#merge!
  0.00    26.33      0.00      116     0.00     0.09  ActiveRecord::Base#quoted_table_name
  0.00    26.33      0.00        1     0.00   250.00  ActiveRecord::ConnectionAdapters::AbstractAdapter#initialize
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Reflection::MacroReflection#class_name
  0.00    26.33      0.00        5     0.00     2.00  ActiveRecord::Base#reset_table_name
  0.00    26.33      0.00       67     0.00     1.49  ActiveRecord::Associations::AssociationProxy#conditions
  0.00    26.33      0.00       43     0.00     0.00  Event#primary_key
  0.00    26.33      0.00       22     0.00     0.00  String#scan
  0.00    26.33      0.00      109     0.00     0.28  ActiveRecord::Base#attribute_present?
  0.00    26.33      0.00        6     0.00     3.33  ActiveRecord::Associations::ClassMethods.collection_reader_method
  0.00    26.33      0.00        9     0.00     0.00  String#size
  0.00    26.33      0.00       16     0.00     1.87  Arel::Visitors::ToSql#visit_Arel_Nodes_Equality
  0.00    26.33      0.00        6     0.00    13.33  YAML::Syck::Parser#load
  0.00    26.33      0.00        5     0.00     0.00  String#demodulize
  0.00    26.33      0.00        2     0.00   180.00  Arel::Table#tables
  0.00    26.33      0.00       14     0.00     0.00  ActiveSupport::Inflector.camelize
  0.00    26.33      0.00       48     0.00     0.00  Fixnum#<
  0.00    26.33      0.00       26     0.00     0.00  Module#append_features
  0.00    26.33      0.00        2     0.00     0.00  ActiveRecord::Base#_accessible_attributes
  0.00    26.33      0.00       26     0.00     0.00  ActiveSupport::Dependencies::WatchStack#pop_modules
  0.00    26.33      0.00      129     0.00     9.46  ActiveSupport::Notifications::Fanout::Subscriber#publish
  0.00    26.33      0.00        6     0.00     0.00  Module#protected
  0.00    26.33      0.00       67     0.00   283.13  User#registration_complete?
  0.00    26.33      0.00        2     0.00     0.00  Kernel.singleton_method_removed
  0.00    26.33      0.00        2     0.00     0.00  Range#begin
  0.00    26.33      0.00      148     0.00     0.00  Kernel.proxy_respond_to?
  0.00    26.33      0.00       33     0.00     0.00  Object#duplicable?
  0.00    26.33      0.00        3     0.00     0.00  Authlogic::ActsAsAuthentic::Password::Config.validates_confirmation_of_password_field_options
  0.00    26.33      0.00       56     0.00     0.00  Kernel.instance_of?
  0.00    26.33      0.00      346     0.00     3.06  ActiveRecord::QueryMethods.arel
  0.00    26.33      0.00        6     0.00     0.00  Fixnum#<=>
  0.00    26.33      0.00        6     0.00    13.33  I18n::Backend::Base.load_yml
  0.00    26.33      0.00       67     0.00     0.15  ActiveModel::Errors#initialize
  0.00    26.33      0.00        3     0.00    40.00  Authlogic::I18n::Translator#translate
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::Associations::ClassMethods::JoinDependency#join_associations
  0.00    26.33      0.00        5     0.00     0.00  ActiveRecord::Base#descends_from_active_record?
  0.00    26.33      0.00        4     0.00     0.00  ActiveSupport::Callbacks::CallbackChain#initialize
  0.00    26.33      0.00      391     0.00     0.00  NilClass#to_s
  0.00    26.33      0.00       16     0.00     0.00  I18n::Backend::Base.pluralize
  0.00    26.33      0.00      129     0.00     0.08  ActiveSupport::Notifications::Fanout#listeners_for
  0.00    26.33      0.00        6     0.00    63.33  ActiveSupport::Dependencies::Reference#get
  0.00    26.33      0.00       16     0.00     0.00  Enumerable.find
  0.00    26.33      0.00      280     0.00     0.00  URI::Generic#default_port
  0.00    26.33      0.00       55     0.00     0.00  I18n::Config#default_separator
  0.00    26.33      0.00        1     0.00    10.00  Authlogic::ActsAsAuthentic::SessionMaintenance::Methods.included
  0.00    26.33      0.00        1     0.00   450.00  ActiveRecord::FinderMethods.find
  0.00    26.33      0.00        1     0.00     0.00  ActiveSupport::Concern.append_features
  0.00    26.33      0.00        1     0.00   190.00  FriendlyId::ActiveRecordAdapter.has_friendly_id
  0.00    26.33      0.00       60     0.00     0.67  Module#redefine_method
  0.00    26.33      0.00       13     0.00     1.54  ActiveSupport::Inflector.singularize
  0.00    26.33      0.00        1     0.00    10.00  Authlogic::ActsAsAuthentic::Email::Config.validates_format_of_email_field_options
  0.00    26.33      0.00       15     0.00     7.33  ActiveRecord::QueryMethods.custom_join_sql
  0.00    26.33      0.00       15     0.00     0.00  Arel::Table#select_manager
  0.00    26.33      0.00        3     0.00     0.00  ActiveSupport::Inflector.foreign_key
  0.00    26.33      0.00        6     0.00     1.67  ActiveRecord::Associations::ClassMethods.create_belongs_to_reflection
  0.00    26.33      0.00        6     0.00     3.33  ActiveRecord::Associations::ClassMethods.association_accessor_methods
  0.00    26.33      0.00      130     0.00     0.00  Object#initialize
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Base#arel_table
  0.00    26.33      0.00      411     0.00     0.00  Fixnum#to_s
  0.00    26.33      0.00      129     0.00    20.54  ActiveRecord::ConnectionAdapters::SQLiteAdapter#execute
  0.00    26.33      0.00        9     0.00     0.00  Hash#reverse_merge
  0.00    26.33      0.00        2     0.00     0.00  ActiveRecord::Base#quote_bound_value
  0.00    26.33      0.00      109     0.00     0.28  ActiveRecord::Associations::HasManyAssociation#has_cached_counter?
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Base#_validators
  0.00    26.33      0.00        2     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.account_mapping_mode_used
  0.00    26.33      0.00        3     0.00  6970.00  Enumerable.find_all
  0.00    26.33      0.00       13     0.00     5.38  ActiveRecord::Reflection::ClassMethods.create_reflection
  0.00    26.33      0.00        7     0.00     0.00  String#capitalize
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_185_object
  0.00    26.33      0.00        2     0.00     0.00  Set#initialize_copy
  0.00    26.33      0.00        9     0.00     0.00  ActiveSupport::Dependencies.warnings_on_first_load
  0.00    26.33      0.00       16     0.00     5.00  I18n::MissingTranslationData#initialize
  0.00    26.33      0.00      129     0.00     0.00  ActiveSupport::BufferedLogger#debug?
  0.00    26.33      0.00        3     0.00     0.00  Array#index
  0.00    26.33      0.00       93     0.00     0.00  Array#shift
  0.00    26.33      0.00       60     0.00     0.00  TrueClass#blank?
  0.00    26.33      0.00        6     0.00    63.33  ActiveSupport::Dependencies.constantize
  0.00    26.33      0.00       18     0.00     0.00  Array#uniq!
  0.00    26.33      0.00     2221     0.00     0.00  Array#<<
  0.00    26.33      0.00      129     0.00    61.09  Kernel.__send__
  0.00    26.33      0.00       52     0.00     1.54  Hash#deep_symbolize_keys
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::SingleAccessToken::Methods.included
  0.00    26.33      0.00       18     0.00     0.00  ActiveSupport::Callbacks::Callback#_normalize_legacy_filter
  0.00    26.33      0.00       31     0.00     0.00  Arel::Visitors::ToSql#quote_column_name
  0.00    26.33      0.00       17     0.00    74.12  ActiveSupport::Dependencies::Loadable.require
  0.00    26.33      0.00        2     0.00     0.00  ActiveModel::MassAssignmentSecurity::ClassMethods.accessible_attributes
  0.00    26.33      0.00      111     0.00     0.00  RPXIdentifier#table_name
  0.00    26.33      0.00        6     0.00    33.33  SQLite3::Pragmas.table_info
  0.00    26.33      0.00       14     0.00     0.00  String#camelize
  0.00    26.33      0.00        3     0.00     0.00  Authlogic::I18n.translator
  0.00    26.33      0.00       58     0.00     0.00  Module#ancestors
  0.00    26.33      0.00       15     0.00     0.00  Struct#hash
  0.00    26.33      0.00        6     0.00     1.67  SQLite3::Pragmas.version_compare
  0.00    26.33      0.00        1     0.00     0.00  MonitorMixin.mon_check_owner
  0.00    26.33      0.00        1     0.00     0.00  FriendlyId::Configuration#initialize
  0.00    26.33      0.00        1     0.00     0.00  ActiveSupport::Notifications::Instrumenter#initialize
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::Aggregations::ClassMethods.writer_method
  0.00    26.33      0.00      141     0.00     0.00  Fixnum#>
  0.00    26.33      0.00      109     0.00     0.09  Arel::Expressions.count
  0.00    26.33      0.00        1     0.00     0.00  Symbol#id2name
  0.00    26.33      0.00       30     0.00     0.00  Arel::Nodes::Join#initialize
  0.00    26.33      0.00       67     0.00     0.00  Array#clear
  0.00    26.33      0.00      129     0.00     0.00  IO#write
  0.00    26.33      0.00      134     0.00     0.00  Array#sort
  0.00    26.33      0.00      139     0.00     0.14  Enumerable.grep
  0.00    26.33      0.00      142     0.00     0.35  Arel::Visitors::ToSql#visit_Arel_Nodes_Grouping
  0.00    26.33      0.00        4     0.00     0.00  Class#extlib_inheritable_reader
  0.00    26.33      0.00      265     0.00     0.72  ActiveRecord::Callbacks::ClassMethods.method_added
  0.00    26.33      0.00        3     0.00     3.33  Hash#slice!
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::Associations::ThroughAssociationScope.build_conditions
  0.00    26.33      0.00        1     0.00     0.00  I18n::Config#default_locale
  0.00    26.33      0.00        5     0.00     0.00  Module#initialize
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Validations::UniquenessValidator#setup
  0.00    26.33      0.00        3     0.00    40.00  Authlogic::I18n.t
  0.00    26.33      0.00        2     0.00     0.00  ActiveModel::MassAssignmentSecurity::PermissionSet#+
  0.00    26.33      0.00        6     0.00    13.33  YAML.load_file
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::Associations::ThroughAssociationScope.construct_select
  0.00    26.33      0.00        1     0.00   290.00  ActiveRecord::Reflection::ThroughReflection#check_validity!
  0.00    26.33      0.00       18     0.00     0.00  Module#alias_method
  0.00    26.33      0.00       15     0.00     0.00  String#strip
  0.00    26.33      0.00      201     0.00    34.33  ActiveRecord::Associations::AssociationCollection#empty?
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods.reset_primary_key
  0.00    26.33      0.00        1     0.00     0.00  SQLite3::Database#initialize
  0.00    26.33      0.00        1     0.00     0.00  MonitorMixin.mon_exit
  0.00    26.33      0.00        1     0.00     0.00  User#_accessible_attributes
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::Regex.email
  0.00    26.33      0.00        6     0.00     3.33  ActiveRecord::Associations::ClassMethods.collection_accessor_methods
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::Session::Password::Config.generalize_credentials_error_messages
  0.00    26.33      0.00       67     0.00     0.90  User#_callback_before_183
  0.00    26.33      0.00       39     0.00     0.00  I18n::Backend::Simple::Implementation.initialized?
  0.00    26.33      0.00        1     0.00     0.00  Struct#new
  0.00    26.33      0.00       12     0.00     0.00  ActiveSupport::OrderedHash#set
  0.00    26.33      0.00       15     0.00    69.33  ActiveRecord::Base#with_scope
  0.00    26.33      0.00        5     0.00     0.00  ActiveRecord::Base#table_name_prefix
  0.00    26.33      0.00      125     0.00     0.00  Arel::Visitors::ToSql#initialize
  0.00    26.33      0.00       47     0.00     0.00  ActiveSupport::Inflector.inflections
  0.00    26.33      0.00       20     0.00     0.00  Kernel.singleton_class
  0.00    26.33      0.00        3     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.account_mapping_mode_value
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Base#_accessible_attributes=
  0.00    26.33      0.00       47     0.00     0.00  Kernel.singleton_method_added
  0.00    26.33      0.00        4     0.00     0.00  Authlogic::Session::Foundation::ClassMethods.rw_config
  0.00    26.33      0.00       74     0.00     0.00  File#directory?
  0.00    26.33      0.00       24     0.00     0.83  String#underscore
  0.00    26.33      0.00      125     0.00     0.00  File#file?
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::Email::Config.validate_email_field
  0.00    26.33      0.00        2     0.00   180.00  Arel::Table#table_cache
  0.00    26.33      0.00        6     0.00    13.33  IO#open
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::Login::Config.validate_login_field
  0.00    26.33      0.00      201     0.00     0.40  ActiveModel::Errors#add_on_blank
  0.00    26.33      0.00       21     0.00     0.00  Hash#reject
  0.00    26.33      0.00      151     0.00     0.73  Authlogic::ActsAsAuthentic::Base::Config.db_setup?
  0.00    26.33      0.00        9     0.00   312.22  Kernel.load
  0.00    26.33      0.00      411     0.00     0.00  Class#superclass
  0.00    26.33      0.00        1     0.00   250.00  ActiveSupport::Notifications.instrumenter
  0.00    26.33      0.00       67     0.00     3.28  User#_callback_before_177
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::Reflection::ThroughReflection#derive_class_name
  0.00    26.33      0.00        3     0.00     3.33  Module#delegate
  0.00    26.33      0.00      128     0.00     5.63  ActiveRecord::NamedScope::ClassMethods.scoped
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.account_mapping_mode
  0.00    26.33      0.00        6     0.00     0.00  Module#<
  0.00    26.33      0.00        1     0.00     0.00  ActiveRecord::ConnectionAdapters::AbstractAdapter#verify!
  0.00    26.33      0.00        6     0.00    75.00  ActiveModel::Errors#add
  0.00    26.33      0.00        6     0.00     0.00  String#humanize
  0.00    26.33      0.00      140     0.00     0.00  URI::Generic#set_port
  0.00    26.33      0.00        6     0.00   125.00  ActiveRecord::AutosaveAssociation::ClassMethods.has_many
  0.00    26.33      0.00       21     0.00     0.00  Module#instance_methods
  0.00    26.33      0.00      482     0.00     0.00  ActiveRecord::Base#connection_handler
  0.00    26.33      0.00        1     0.00 20760.00  UserBehaviours::TwitterStyleFollowBehaviour.following
  0.00    26.33      0.00      148     0.00     0.20  ActiveRecord::Associations::AssociationProxy#respond_to?
  0.00    26.33      0.00        9     0.00     0.00  ActiveSupport::Dependencies.history
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::Login::Config.validates_uniqueness_of_login_field_options
  0.00    26.33      0.00      129     0.00     0.00  ActiveRecord::LogSubscriber#runtime=
  0.00    26.33      0.00       67     0.00     4.48  User#must_accept_terms_and_conditions_and_privacy_policy
  0.00    26.33      0.00       67     0.00     3.13  User#_callback_before_185
  0.00    26.33      0.00        1     0.00     0.00  Authlogic::ActsAsAuthentic::Email::Config.validates_uniqueness_of_email_field_options
  0.00    26.33      0.00        5     0.00     0.00  ActiveSupport::DescendantsTracker.inherited
  0.00    26.33      0.00       19     0.00     0.00  Arel::Visitors::ToSql#visit_Arel_SqlLiteral
  0.00    26.33      0.00      156     0.00     0.00  String#[]
  0.00    26.33      0.00        5     0.00     0.00  Authlogic::ActsAsAuthentic::Email::Config.email_field
  0.00    26.33      0.00       18     0.00     0.56  ActiveRecord::Base#lookup_ancestors
  0.00    26.33      0.00       30     0.00     0.00  Arel::Nodes::StringJoin#initialize
  0.00    26.33      0.00        1     0.00     0.00  SQLite3::Database#busy_timeout
  0.00    26.33      0.00       31     0.00     0.00  Arel::Visitors::ToSql#visit_Arel_Attributes_Integer
  0.00    26.33      0.00        1     0.00 22670.00  EventBehaviours::AttendingAndTracking.attendees_followed_by
  0.00    26.33      0.00       15     0.00     0.00  Arel::Visitors::ToSql#visit_Arel_Nodes_StringJoin
  0.00    26.33      0.00       13     0.00     1.54  String#singularize
  0.00    26.33      0.00        1     0.00   450.00  ActiveRecord::FinderMethods.find_with_ids
  0.00    26.33      0.00        8     0.00     0.00  String#tr
  0.00    26.33      0.00       31     0.00     0.00  #<Class:0xb6bf9170>#column
  0.00    26.33      0.00       20     0.00     0.00  Array#delete
  0.00    26.33      0.00        1     0.00 19750.00  User#all_active_users
  0.00    26.33      0.00      134     0.00     0.60  ActiveModel::Errors#empty?
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Base#_validators=
  0.00    26.33      0.00        1     0.00    80.00  ActiveRecord::AttributeMethods::ClassMethods.defined_activerecord_methods
  0.00    26.33      0.00       16     0.00    31.25  Arel::Table#[]
  0.00    26.33      0.00       22     0.00     0.00  Module#protected_instance_methods
  0.00    26.33      0.00       67     0.00     0.30  ActiveRecord::Reflection::AssociationReflection#check_validity!
  0.00    26.33      0.00       55     0.00     2.55  I18n.normalize_keys
  0.00    26.33      0.00      653     0.00     0.00  Array#compact
  0.00    26.33      0.00        5     0.00    12.00  Authlogic::ActsAsAuthentic::Login::Config.login_field
  0.00    26.33      0.00        1     0.00     0.00  MonitorMixin.mon_enter
  0.00    26.33      0.00      134     0.00     2.46  Authlogic::ActsAsAuthentic::SessionMaintenance::Methods.session_class
  0.00    26.33      0.00       13     0.00     5.38  Class#write_inheritable_hash
  0.00    26.33      0.00       67     0.00     0.00  #<Module:0xb631359c>.persistence_token_changed?
  0.00    26.33      0.00        6     0.00    11.67  ActiveRecord::Associations::ClassMethods.configure_dependency_for_has_many
  0.00    26.33      0.00       67     0.00   177.76  User#_run_validation_callbacks
  0.00    26.33      0.00       55     0.00     0.73  I18n.default_separator
  0.00    26.33      0.00        3     0.00    16.67  ActiveModel::Validations::HelperMethods.validates_presence_of
  0.00    26.33      0.00      268     0.00     2.39  ActiveRecord::ConnectionAdapters::Column#string_to_time
  0.00    26.33      0.00        4     0.00     0.00  ActiveRecord::Validations::UniquenessValidator#initialize
  0.00    26.33      0.00       11     0.00     0.00  ActiveModel::EachValidator#check_validity!
  0.00    26.33      0.00       52     0.00     0.00  ActiveSupport::Dependencies.constant_watch_stack
  0.00    26.33      0.00       15     0.00     0.00  ActiveRecord::NamedScope::ClassMethods.scopes
  0.00    26.33      0.00        6     0.00     0.00  ActiveSupport::Dependencies.references
  0.00    26.33      0.00       86     0.00     0.00  ActiveRecord::Base#inheritance_column
  0.00    26.33      0.00       72     0.00     0.00  Module#private
  0.00    26.33      0.00        3     0.00     0.00  Authlogic::I18n.scope
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::ActsAsAuthentic::Config.using_internal_mapping?
  0.00    26.33      0.00       12     0.00    32.50  ActiveRecord::AutosaveAssociation::ClassMethods.add_autosave_association_callbacks
  0.00    26.33      0.00       37     0.00     0.00  Kernel.raise
  0.00    26.33      0.00       51     0.00     5.69  ActiveRecord::Reflection::ThroughReflection#source_reflection
  0.00    26.33      0.00       30     0.00     0.00  ActiveRecord::Base#i18n_scope
  0.00    26.33      0.00       68     0.00    18.53  ActiveRecord::Associations::HasManyAssociation#initialize
  0.00    26.33      0.00        6     0.00    11.67  ActiveRecord::Associations::ClassMethods.create_has_many_reflection
  0.00    26.33      0.00        1     0.00     0.00  User#after_password_set
  0.00    26.33      0.00       16     0.00     0.00  ActiveRecord::Associations::ThroughAssociationScope.sql_conditions
  0.00    26.33      0.00        1     0.00   110.00  Authlogic::ActsAsAuthentic::Login::Methods.included
  0.00    26.33      0.00       58     0.00     0.00  Array#push
  0.00    26.33      0.00        1     0.00   340.00  ActiveRecord::ConnectionAdapters::ConnectionPool#checkout_new_connection
  0.00    26.33      0.00        9     0.00   373.33  ActiveSupport::Dependencies.load_file
  0.00    26.33      0.00      268     0.00     0.00  Time#year
  0.00    26.33      0.00      134     0.00    51.34  ActiveModel::AttributeMethods.match_attribute_method?
  0.00    26.33      0.00       60     0.00    18.50  ActiveSupport::Callbacks::ClassMethods.set_callback
  0.00    26.33      0.00        1     0.00     0.00  AuthlogicRpx::Session::Config.rpx_extended_info_value
